Ingredient Name,Product Name,Amazon Link,ASIN,Extraction Method
"b-complex","Thorne B-Complex #12","https://www.amazon.com/s?k=Thorne+B-Complex+%2312&tag=robinfrench-20","B01INRFW0E","scrape"
"probiotic powder","Purina FortiFlora Probiotic Supplement","https://www.amazon.com/s?k=Purina+FortiFlora+Probiotic+Supplement&tag=robinfrench-20","B0BGV8L7L2","scrape"
"psyllium husk","Organic India Whole Husk Psyllium","https://www.amazon.com/s?k=Organic+India+Whole+Husk+Psyllium&tag=robinfrench-20","B0016AXN7A","scrape"
"joint supplement","Cosequin DS Plus MSM for Dogs","https://www.amazon.com/s?k=Cosequin+DS+Plus+MSM+Dogs&tag=robinfrench-20","B003ULL1NQ","scrape"
"omega-3 capsules","Nordic Naturals Omega-3 Pet Capsules","https://www.amazon.com/s?k=Nordic+Naturals+Omega-3+Pet+Capsules&tag=robinfrench-20","B004OA5XP4","scrape"
"digestive enzymes","NaturVet Digestive Enzymes Plus Probiotics","https://www.amazon.com/s?k=NaturVet+Digestive+Enzymes+Plus+Probiotics&tag=robinfrench-20","B00O6FINFO","scrape"
"hairball paste","Tomlyn Laxatone Hairball Remedy","https://www.amazon.com/s?k=Tomlyn+Laxatone+Hairball+Remedy&tag=robinfrench-20","B07B282MR4","scrape"
"chicken broth","Brutus Bone Broth for Dogs No Salt","https://www.amazon.com/s?k=Brutus+Bone+Broth+Dogs+No+Salt&tag=robinfrench-20","B07DFNP37Y","scrape"
"vitamin e oil","NOW Solutions Vitamin E Oil","https://www.amazon.com/s?k=NOW+Solutions+Vitamin+E+Oil&tag=robinfrench-20","B0DZ5ZCC85","scrape"
"millet (white/red)","Lafeber\","https://www.amazon.com/s?k=Lafeber%27s+Parrot+Food+White+Millet+Spray&tag=robinfrench-20","B0002DH3FU","scrape"
"canary seed","Lafeber\","https://www.amazon.com/s?k=Lafeber%27s+Parrot+Food+Canary+Seed&tag=robinfrench-20","B00027ZVG4","scrape"
"niger seed","Lafeber\","https://www.amazon.com/s?k=Lafeber%27s+Parrot+Food+Niger+Seed&tag=robinfrench-20","B086211R4H","scrape"
"oat groats","Lafeber\","https://www.amazon.com/s?k=Lafeber%27s+Parrot+Food+Oat+Groats&tag=robinfrench-20","B086211R4H","scrape"
"hemp seeds","Lafeber\","https://www.amazon.com/s?k=Lafeber%27s+Parrot+Food+Hemp+Seed&tag=robinfrench-20","B086211R4H","scrape"
"flaxseeds","Lafeber\","https://www.amazon.com/s?k=Lafeber%27s+Parrot+Food+Flax+Seed&tag=robinfrench-20","B00027ZVG4","scrape"
"sesame seeds","Lafeber\","https://www.amazon.com/s?k=Lafeber%27s+Parrot+Food+Sesame+Seed&tag=robinfrench-20","B086211R4H","scrape"
"chia seeds","Lafeber\","https://www.amazon.com/s?k=Lafeber%27s+Parrot+Food+Chia+Seed&tag=robinfrench-20","B086211R4H","scrape"
"quinoa (cooked)","Lafeber\","https://www.amazon.com/s?k=Lafeber%27s+Parrot+Food+Cooked+Quinoa&tag=robinfrench-20","B001CCOVB4","scrape"
"rapeseed","Lafeber\","https://www.amazon.com/s?k=Lafeber%27s+Parrot+Food+Rapeseed&tag=robinfrench-20","B00027ZVG4","scrape"
"sunflower seeds (small amounts)","Lafeber\","https://www.amazon.com/s?k=Lafeber%27s+Parrot+Food+Sunflower+Seed&tag=robinfrench-20","B00027ZVG4","scrape"
"pumpkin seeds","Lafeber\","https://www.amazon.com/s?k=Lafeber%27s+Parrot+Food+Pumpkin+Seed&tag=robinfrench-20","B00027ZVG4","scrape"
"bell peppers","Earthbound Farm Organic Bell Peppers","https://www.amazon.com/s?k=Earthbound+Farm+Organic+Bell+Peppers&tag=robinfrench-20","B000P6J14K","scrape"
"corn (fresh)","Cascadian Farm Organic Corn on the Cob","https://www.amazon.com/s?k=Cascadian+Farm+Organic+Corn+on+the+Cob&tag=robinfrench-20","B000REL738","scrape"
"apples (no seeds)","Organic Honeycrisp Apples","https://www.amazon.com/s?k=Organic+Honeycrisp+Apples&tag=robinfrench-20","B00AR0TG44","scrape"
"blueberries","Driscoll\","https://www.amazon.com/s?k=Driscoll%27s+Organic+Blueberries&tag=robinfrench-20","B07Z568Y3N","scrape"
"strawberries","Driscoll\","https://www.amazon.com/s?k=Driscoll%27s+Organic+Strawberries&tag=robinfrench-20","B002B8Z98W","scrape"
"mango","Organic Mango","https://www.amazon.com/s?k=Organic+Mango&tag=robinfrench-20","B00WM6CHFQ","scrape"
"banana","Organic Bananas","https://www.amazon.com/s?k=Organic+Bananas&tag=robinfrench-20","B07ZLFKBFD","scrape"
"grapes (chopped)","Organic Red Seedless Grapes","https://www.amazon.com/s?k=Organic+Red+Seedless+Grapes&tag=robinfrench-20","B000RGYJI6","scrape"
"papaya","Organic Papaya","https://www.amazon.com/s?k=Organic+Papaya&tag=robinfrench-20","B07FZ159ZB","scrape"
"melon","Organic Cantaloupe Melon","https://www.amazon.com/s?k=Organic+Cantaloupe+Melon&tag=robinfrench-20","B000NSGULC","scrape"
"egg (hard-boiled)","Vital Essentials Freeze Dried Egg Yolk Treats","https://www.amazon.com/s?k=Vital+Essentials+Freeze+Dried+Egg+Yolk&tag=robinfrench-20","B0BWBNT8JX","scrape"
"pellets (fortified)","Lafeber\","https://www.amazon.com/s?k=Lafeber%27s+Parrot+Food+Pellets&tag=robinfrench-20","B086211R4H","scrape"
"cuttlebone","Lafeber\","https://www.amazon.com/s?k=Lafeber%27s+Parrot+Food+Cuttlebone&tag=robinfrench-20","B00027ZVG4","scrape"
"honey (tiny amounts)","Local Raw Honey","https://www.amazon.com/s?k=Local+Raw+Honey&tag=robinfrench-20","B0791X9GSG","scrape"
"peanut butter (unsalted, tiny amounts)","Teddie All Natural Peanut Butter","https://www.amazon.com/s?k=Teddie+All+Natural+Peanut+Butter&tag=robinfrench-20","B06ZXZ3JPZ","scrape"
"dubia roaches","Josh\","https://www.amazon.com/s?k=Josh%27s+Frogs+Dubia+Roaches&tag=robinfrench-20","B09QD6PBB8","scrape"
"crickets","Fluker\","https://www.amazon.com/s?k=Fluker%27s+Live+Crickets&tag=robinfrench-20","B000YFGS52","scrape"
"mealworms","Fluker\","https://www.amazon.com/s?k=Fluker%27s+Freeze+Dried+Mealworms&tag=robinfrench-20","B07TKDYMMP","scrape"
"superworms","Josh\","https://www.amazon.com/s?k=Josh%27s+Frogs+Superworms&tag=robinfrench-20","B01018SX5Y","scrape"
"black soldier fly larvae","Grubblies Black Soldier Fly Larvae","https://www.amazon.com/s?k=Grubblies+Black+Soldier+Fly+Larvae&tag=robinfrench-20","B0BLZ88Q3R","scrape"
"hornworms","Josh\","https://www.amazon.com/s?k=Josh%27s+Frogs+Hornworms&tag=robinfrench-20","B09Y4RTNK9","scrape"
"acorn squash","Organic Acorn Squash","https://www.amazon.com/s?k=Organic+Acorn+Squash&tag=robinfrench-20","B07FZ34ZS4","scrape"
"figs","Organic Dried Figs","https://www.amazon.com/s?k=Organic+Dried+Figs&tag=robinfrench-20","B08MDKF98D","scrape"
"timothy hay","Oxbow Animal Health Western Timothy Hay","https://www.amazon.com/s?k=Oxbow+Animal+Health+Western+Timothy+Hay&tag=robinfrench-20","B006AYMMRY","scrape"
"meadow hay","Small Pet Select Meadow Hay","https://www.amazon.com/s?k=Small+Pet+Select+Meadow+Hay&tag=robinfrench-20","B07CJ2FRNC","scrape"
"orchard grass hay","Oxbow Animal Health Orchard Grass Hay","https://www.amazon.com/s?k=Oxbow+Animal+Health+Orchard+Grass+Hay&tag=robinfrench-20","B00S6Y8MHU","scrape"
"alfalfa hay","Kaytee Natural Alfalfa Hay","https://www.amazon.com/s?k=Kaytee+Natural+Alfalfa+Hay&tag=robinfrench-20","B0CM34Z4BQ","scrape"
"romaine lettuce","Organic Girl Romaine Lettuce","https://www.amazon.com/s?k=Organic+Girl+Romaine+Lettuce&tag=robinfrench-20","B0F3YTY4XQ","scrape"
"cilantro","Organic Cilantro","https://www.amazon.com/s?k=Organic+Cilantro&tag=robinfrench-20","B07M9FWTRC","scrape"
"basil","Organic Basil","https://www.amazon.com/s?k=Organic+Basil&tag=robinfrench-20","B097F282FC","scrape"
"duck hearts","Vital Essentials Freeze Dried Duck Hearts","https://www.amazon.com/s?k=Vital%20Essentials%20freeze%20dried%20duck%20hearts&tag=robinfrench-20","B0BWBNT8JX","scrape"
"lamb liver","Stella & Chewy\","https://www.amazon.com/s?k=freeze%20dried%20lamb%20liver%20Stella%20%26%20Chewy%27s&tag=robinfrench-20","B0015G862M","scrape"
"duck liver","Vital Essentials Freeze Dried Duck Liver","https://www.amazon.com/s?k=freeze%20dried%20duck%20liver%20Vital%20Essentials&tag=robinfrench-20","B0BWBV5PRJ","scrape"
"chicken necks","Raw Paws Pet Food Raw Chicken Necks","https://www.amazon.com/s?k=Raw%20Paws%20Pet%20Food%20raw%20chicken%20necks&tag=robinfrench-20","B0821PF71M","scrape"
"turkey thighs","Boneless Skinless Turkey Thighs","https://www.amazon.com/s?k=boneless%20skinless%20turkey%20thighs&tag=robinfrench-20","B00AR100NE","scrape"
"ground duck","Raw Paws Pet Food Raw Ground Duck","https://www.amazon.com/s?k=raw%20ground%20duck%20pet%20food&tag=robinfrench-20","B0BY3CNR3Q","scrape"
"ground lamb (lean)","Lean Ground Lamb Meat","https://www.amazon.com/s?k=lean%20ground%20lamb%20meat&tag=robinfrench-20","B088Y2N6WC","scrape"
"ground herring","K9 Natural Hoki Fish Blend","https://www.amazon.com/s?k=K9%20Natural%20Hoki%20fish%20blend&tag=robinfrench-20","B00B3G89MQ","scrape"
"ground mackerel","Northwest Naturals Raw Fish Blend","https://www.amazon.com/s?k=Northwest%20Naturals%20raw%20fish%20blend&tag=robinfrench-20","B079Z4MZTG","scrape"
"mackerel (canned)","Wild Planet Canned Mackerel","https://www.amazon.com/s?k=Wild%20Planet%20canned%20mackerel%20no%20salt&tag=robinfrench-20","B017J9X8IA","scrape"
"herring (canned)","Crown Prince Canned Herring","https://www.amazon.com/s?k=canned%20herring%20no%20salt%20in%20water%20Crown%20Prince&tag=robinfrench-20","B01FUWYO2M","scrape"
"chicken sausage (no additives)","Applegate Naturals Chicken Sausage","https://www.amazon.com/s?k=Applegate%20Naturals%20chicken%20sausage%20no%20nitrates&tag=robinfrench-20","B001JO4O80","scrape"
"turkey sausage (no additives)","Applegate Naturals Turkey Sausage","https://www.amazon.com/s?k=Applegate%20turkey%20sausage%20no%20sugar%20no%20nitrates&tag=robinfrench-20","B00I2VLI5A","scrape"
"ground pork (lean, small amounts)","Lean Ground Pork","https://www.amazon.com/s?k=lean%20ground%20pork%20for%20human%20consumption&tag=robinfrench-20","B01H0AI6J4","scrape"
"regular potato","Fresh Russet Potatoes","https://www.amazon.com/s?k=fresh%20russet%20potatoes&tag=robinfrench-20","B09SHBJWBR","scrape"
"walnut oil","La Tourangelle Walnut Oil","https://www.amazon.com/s?k=La%20Tourangelle%20walnut%20oil%20cold%20pressed&tag=robinfrench-20","B00QGWLZ3C","scrape"
"black currant oil","NOW Foods Black Currant Seed Oil","https://www.amazon.com/s?k=black%20currant%20seed%20oil%20NOW%20Foods&tag=robinfrench-20","B01FXEM0BY","scrape"
"almond oil","Viva Naturals Sweet Almond Oil","https://www.amazon.com/s?k=Viva%20Naturals%20sweet%20almond%20oil%20cold%20pressed%20edible&tag=robinfrench-20","B0BXMMDNJ8","scrape"
"sunflower oil","High Oleic Sunflower Oil Cold Pressed","https://www.amazon.com/s?k=high%20oleic%20sunflower%20oil%20cold%20pressed&tag=robinfrench-20","B00MNTRVPS","scrape"
"chia seed oil","Healthworks Organic Chia Seed Oil","https://www.amazon.com/s?k=organic%20chia%20seed%20oil%20Healthworks&tag=robinfrench-20","B00WM6CHFQ","scrape"
"herring oil","Nordic Naturals Pet Herring Oil","https://www.amazon.com/s?k=Nordic%20Naturals%20pet%20herring%20oil&tag=robinfrench-20","B00CBY93XS","scrape"
"anchovy oil","Carlson Labs Fish Oil Anchovy","https://www.amazon.com/s?k=Carlson%20Labs%20fish%20oil%20anchovy&tag=robinfrench-20","B0FDNB2DVS","scrape"
"evening primrose oil","Nature\","https://www.amazon.com/s?k=evening%20primrose%20oil%20supplement%20Nature%27s%20Way&tag=robinfrench-20","B07FPBQ31W","scrape"
"mackerel oil","Jarrow Formulas Fish Oil Supplement","https://www.amazon.com/s?k=Jarrow%20Formulas%20fish%20oil%20supplement&tag=robinfrench-20","B01NBTJFJB","scrape"
"sardine oil","Zesty Paws Sardine Oil for Dogs","https://www.amazon.com/s?k=Zesty%20Paws%20sardine%20oil%20for%20dogs&tag=robinfrench-20","B0CXKHT5K2","scrape"
"borage oil","NOW Foods Borage Oil Softgels","https://www.amazon.com/s?k=borage%20oil%20softgels%20NOW%20Foods&tag=robinfrench-20","B01FXEM0BY","scrape"
"sesame oil","Spectrum Cold Pressed Sesame Oil","https://www.amazon.com/s?k=cold%20pressed%20sesame%20oil%20Spectrum&tag=robinfrench-20","B0797GTG2C","scrape"
"avocado oil","Chosen Foods Pure Avocado Oil","https://www.amazon.com/s?k=Chosen%20Foods%20avocado%20oil%20pure&tag=robinfrench-20","B0C3WCRNPN","scrape"
"avocado oil (tiny amounts)","Chosen Foods Pure Avocado Oil","https://www.amazon.com/s?k=Chosen%20Foods%20avocado%20oil%20pure&tag=robinfrench-20","B0C3WCRNPN","scrape"
"wheat germ oil","NOW Foods Wheat Germ Oil Liquid","https://www.amazon.com/s?k=wheat%20germ%20oil%20liquid%20NOW%20Foods%20edible&tag=robinfrench-20","B001GAOHK2","scrape"
"krill oil","Kori Krill Oil Pure Supplement","https://www.amazon.com/s?k=Kori%20Krill%20Oil%20pure%20supplement&tag=robinfrench-20","B004HIQ9CY","scrape"
"algae oil (dha)","Nordic Naturals Algae Omega DHA","https://www.amazon.com/s?k=Nordic%20Naturals%20Algae%20Omega%20DHA&tag=robinfrench-20","B079J5YZSS","scrape"
"omega-3 oil","Grizzly Salmon Oil for Pets","https://www.amazon.com/s?k=Grizzly%20Salmon%20Oil%20for%20pets&tag=robinfrench-20","B09RYYWHH1","scrape"
"kelp powder","NOW Foods Organic Kelp Powder","https://www.amazon.com/s?k=NOW%20Foods%20organic%20kelp%20powder&tag=robinfrench-20","B0002JG1GG","scrape"
"joint health powder","Nutramax Dasuquin Joint Health Powder","https://www.amazon.com/s?k=Dasuquin%20joint%20health%20powder%20for%20pets&tag=robinfrench-20","B00PXK1G50","scrape"
"amino acid supplement","Purina Pro Plan Amino Acid Supplement","https://www.amazon.com/s?k=Purina%20Pro%20Plan%20amino%20acid%20supplement&tag=robinfrench-20","B0C2JFLZHF","scrape"
"calcium supplement","Thomas Labs Calcium Carbonate Powder","https://www.amazon.com/s?k=calcium%20carbonate%20powder%20unflavored%20Thomas%20Labs&tag=robinfrench-20","B0CKNK682W","scrape"
"spirulina powder","Vimergy Organic Spirulina Powder","https://www.amazon.com/s?k=organic%20spirulina%20powder%20Vimergy%20high%20purity&tag=robinfrench-20","B08S4982CC","scrape"
"electrolyte powder","ReptoBoost Electrolyte Powder","https://www.amazon.com/s?k=ReptoBoost%20electrolyte%20powder%20for%20reptiles&tag=robinfrench-20","B0FMZHN6M1","scrape"
"vitamin d3 drops","Ddrops Liquid Vitamin D3 Drops","https://www.amazon.com/s?k=Vitamin%20D3%20drops%201000%20IU%20Ddrops&tag=robinfrench-20","B0062QD5LM","scrape"
"s yeast","Bob\","https://www.amazon.com/s?k=brewer%27s%20yeast%20flakes%20unfortified%20Bob%27s%20Red%20Mill&tag=robinfrench-20","B084JL2R77","scrape"
"buckwheat","Bob\","https://www.amazon.com/s?k=Bob%27s%20Red%20Mill%20raw%20hulled%20buckwheat%20groats&tag=robinfrench-20","B00KQ17MDG","scrape"
"buckwheat (tiny amounts)","Bob\","https://www.amazon.com/s?k=Bob%27s%20Red%20Mill%20raw%20hulled%20buckwheat%20groats&tag=robinfrench-20","B00KQ17MDG","scrape"
"buckwheat (hulled)","Anthony\","https://www.amazon.com/s?k=hulled%20buckwheat%20groats%20Anthony%27s%20Goods&tag=robinfrench-20","B0D15QDVW7","scrape"
"sorghum","Bob\","https://www.amazon.com/s?k=whole%20grain%20sorghum%20Bob%27s%20Red%20Mill&tag=robinfrench-20","B0FKBVN6XP","scrape"
"barley","Bob\","https://www.amazon.com/s?k=Bob%27s%20Red%20Mill%20hulled%20barley%20grain&tag=robinfrench-20","B0D481997Z","scrape"
"barley (cooked, minimal)","Bob\","https://www.amazon.com/s?k=Bob%27s%20Red%20Mill%20hulled%20barley%20grain&tag=robinfrench-20","B00QKP257A","scrape"
"barley (hulled)","Bob\","https://www.amazon.com/s?k=Bob%27s%20Red%20Mill%20hulled%20barley%20grain&tag=robinfrench-20","B00QKP257A","scrape"
"millet","Bob\","https://www.amazon.com/s?k=whole%20grain%20millet%20Bob%27s%20Red%20Mill&tag=robinfrench-20","B0FKBVN6XP","scrape"
"millet (tiny amounts)","Bob\","https://www.amazon.com/s?k=whole%20grain%20millet%20Bob%27s%20Red%20Mill&tag=robinfrench-20","B07XPCWYP2","scrape"
"farro","Bob\","https://www.amazon.com/s?k=Bob%27s%20Red%20Mill%20farro%20grain&tag=robinfrench-20","B0FKBVN6XP","scrape"
"bulgur","Bob\","https://www.amazon.com/s?k=fine%20bulgur%20wheat%20Bob%27s%20Red%20Mill&tag=robinfrench-20","B081DQ5NG5","scrape"
"amaranth (tiny amounts)","Bob\","https://www.amazon.com/s?k=whole%20grain%20amaranth%20seed%20Bob%27s%20Red%20Mill&tag=robinfrench-20","B000V1O40U","scrape"
"amaranth seeds","Bob\","https://www.amazon.com/s?k=whole%20grain%20amaranth%20seed%20Bob%27s%20Red%20Mill&tag=robinfrench-20","B000V1O40U","scrape"
