Status,Ingredient,Product Name,ASIN,Confidence,Alias Group,Issues,Notes,Action Needed,Link
NEEDS-REVIEW,"turnip greens","Organic Turnip Greens",B09HQH6WZT,LOW,,"CONFLICT: Ambiguous grouping - needs manual review","⚠️ Conflict detected - likely wrong product",VERIFY,https://www.amazon.com/dp/B09HQH6WZT?tag=robinfrench-20
NEEDS-REVIEW,"fish oil","Nordic Naturals Omega-3 Pet",B00CBY93XS,LOW,fish_oil_xbd1qd,"SEMANTIC: Missing 2 required token(s): fish, oil","⚠️ Ambiguous (alias group: fish_oil_xbd1qd)",VERIFY,https://www.amazon.com/dp/B00CBY93XS?tag=robinfrench-20
NEEDS-REVIEW,"canary seed","Lafeber's Parrot Food Canary Seed",B00027ZVG4,LOW,,"CONFLICT: Ambiguous grouping - needs manual review","⚠️ Conflict detected - likely wrong product",VERIFY,https://www.amazon.com/dp/B00027ZVG4?tag=robinfrench-20
NEEDS-REVIEW,"niger seed","Lafeber's Parrot Food Niger Seed",B086211R4H,LOW,,"CONFLICT: Ambiguous grouping - needs manual review","⚠️ Conflict detected - likely wrong product",VERIFY,https://www.amazon.com/dp/B086211R4H?tag=robinfrench-20
NEEDS-REVIEW,"oat groats","Lafeber's Parrot Food Oat Groats",B086211R4H,LOW,,"CONFLICT: Ambiguous grouping - needs manual review","⚠️ Conflict detected - likely wrong product",VERIFY,https://www.amazon.com/dp/B086211R4H?tag=robinfrench-20
NEEDS-REVIEW,"hemp seeds","Lafeber's Parrot Food Hemp Seed",B086211R4H,LOW,,"CONFLICT: Ambiguous grouping - needs manual review","⚠️ Conflict detected - likely wrong product",VERIFY,https://www.amazon.com/dp/B086211R4H?tag=robinfrench-20
NEEDS-REVIEW,"flaxseeds","Lafeber's Parrot Food Flax Seed",B00027ZVG4,LOW,,"CONFLICT: Ambiguous grouping - needs manual review","⚠️ Conflict detected - likely wrong product",VERIFY,https://www.amazon.com/dp/B00027ZVG4?tag=robinfrench-20
NEEDS-REVIEW,"sesame seeds","Lafeber's Parrot Food Sesame Seed",B086211R4H,LOW,,"CONFLICT: Ambiguous grouping - needs manual review","⚠️ Conflict detected - likely wrong product",VERIFY,https://www.amazon.com/dp/B086211R4H?tag=robinfrench-20
NEEDS-REVIEW,"chia seeds","Lafeber's Parrot Food Chia Seed",B086211R4H,LOW,,"CONFLICT: Ambiguous grouping - needs manual review","⚠️ Conflict detected - likely wrong product",VERIFY,https://www.amazon.com/dp/B086211R4H?tag=robinfrench-20
NEEDS-REVIEW,"rapeseed","Lafeber's Parrot Food Rapeseed",B00027ZVG4,LOW,,"CONFLICT: Ambiguous grouping - needs manual review","⚠️ Conflict detected - likely wrong product",VERIFY,https://www.amazon.com/dp/B00027ZVG4?tag=robinfrench-20
NEEDS-REVIEW,"sunflower seeds (small amounts)","Lafeber's Parrot Food Sunflower Seed",B00027ZVG4,LOW,,"CONFLICT: Ambiguous grouping - needs manual review","⚠️ Conflict detected - likely wrong product",VERIFY,https://www.amazon.com/dp/B00027ZVG4?tag=robinfrench-20
NEEDS-REVIEW,"pumpkin seeds","Lafeber's Parrot Food Pumpkin Seed",B00027ZVG4,LOW,,"CONFLICT: Ambiguous grouping - needs manual review","⚠️ Conflict detected - likely wrong product",VERIFY,https://www.amazon.com/dp/B00027ZVG4?tag=robinfrench-20
NEEDS-REVIEW,"mango","Organic Mango",B00WM6CHFQ,LOW,,"CONFLICT: Conflict detected: mango and chia are different products","⚠️ Conflict detected - likely wrong product",VERIFY,https://www.amazon.com/dp/B00WM6CHFQ?tag=robinfrench-20
NEEDS-REVIEW,"egg (hard-boiled)","Vital Essentials Freeze Dried Egg Yolk Treats",B0BWBNT8JX,LOW,,"CONFLICT: Conflict detected: egg and duck are different products","⚠️ Conflict detected - likely wrong product",VERIFY,https://www.amazon.com/dp/B0BWBNT8JX?tag=robinfrench-20
NEEDS-REVIEW,"pellets (fortified)","Lafeber's Parrot Food Pellets",B086211R4H,LOW,,"CONFLICT: Ambiguous grouping - needs manual review","⚠️ Conflict detected - likely wrong product",VERIFY,https://www.amazon.com/dp/B086211R4H?tag=robinfrench-20
NEEDS-REVIEW,"cuttlebone","Lafeber's Parrot Food Cuttlebone",B00027ZVG4,LOW,,"CONFLICT: Ambiguous grouping - needs manual review","⚠️ Conflict detected - likely wrong product",VERIFY,https://www.amazon.com/dp/B00027ZVG4?tag=robinfrench-20
NEEDS-REVIEW,"orchard grass hay","Oxbow Animal Health Orchard Grass Hay",B00S6Y8MHU,LOW,,"CONFLICT: Ambiguous grouping - needs manual review","⚠️ Conflict detected - likely wrong product",VERIFY,https://www.amazon.com/dp/B00S6Y8MHU?tag=robinfrench-20
NEEDS-REVIEW,"duck hearts","Vital Essentials Freeze Dried Duck Hearts",B0BWBNT8JX,LOW,,"CONFLICT: Conflict detected: egg and duck are different products","⚠️ Conflict detected - likely wrong product",VERIFY,https://www.amazon.com/dp/B0BWBNT8JX?tag=robinfrench-20
NEEDS-REVIEW,"herring (canned)","Crown Prince Canned Herring",B01FUWYO2M,LOW,,"CONFLICT: Conflict detected: herring and sardines are different products","⚠️ Conflict detected - likely wrong product",VERIFY,https://www.amazon.com/dp/B01FUWYO2M?tag=robinfrench-20
NEEDS-REVIEW,"black currant oil","NOW Foods Black Currant Seed Oil",B01FXEM0BY,LOW,,"CONFLICT: Ambiguous grouping - needs manual review","⚠️ Conflict detected - likely wrong product",VERIFY,https://www.amazon.com/dp/B01FXEM0BY?tag=robinfrench-20
NEEDS-REVIEW,"chia seed oil","Healthworks Organic Chia Seed Oil",B00WM6CHFQ,LOW,,"CONFLICT: Conflict detected: mango and chia are different products","⚠️ Conflict detected - likely wrong product",VERIFY,https://www.amazon.com/dp/B00WM6CHFQ?tag=robinfrench-20
NEEDS-REVIEW,"herring oil","Nordic Naturals Pet Herring Oil",B00CBY93XS,LOW,fish_oil_xbd1qd,"SEMANTIC: Missing 2 required token(s): fish, oil","⚠️ Ambiguous (alias group: fish_oil_xbd1qd)",VERIFY,https://www.amazon.com/dp/B00CBY93XS?tag=robinfrench-20
NEEDS-REVIEW,"borage oil","NOW Foods Borage Oil Softgels",B01FXEM0BY,LOW,,"CONFLICT: Ambiguous grouping - needs manual review","⚠️ Conflict detected - likely wrong product",VERIFY,https://www.amazon.com/dp/B01FXEM0BY?tag=robinfrench-20
NEEDS-REVIEW,"sorghum","Bob's Red Mill Whole Grain Sorghum",B0FKBVN6XP,LOW,,"CONFLICT: Ambiguous grouping - needs manual review","⚠️ Conflict detected - likely wrong product",VERIFY,https://www.amazon.com/dp/B0FKBVN6XP?tag=robinfrench-20
NEEDS-REVIEW,"millet","Bob's Red Mill Whole Grain Millet",B0FKBVN6XP,LOW,,"CONFLICT: Ambiguous grouping - needs manual review","⚠️ Conflict detected - likely wrong product",VERIFY,https://www.amazon.com/dp/B0FKBVN6XP?tag=robinfrench-20
NEEDS-REVIEW,"farro","Bob's Red Mill Farro Grain",B0FKBVN6XP,LOW,,"CONFLICT: Ambiguous grouping - needs manual review","⚠️ Conflict detected - likely wrong product",VERIFY,https://www.amazon.com/dp/B0FKBVN6XP?tag=robinfrench-20
NEEDS-REVIEW,"amaranth (tiny amounts)","Bob's Red Mill Whole Grain Amaranth Seed",B000V1O40U,LOW,,"CONFLICT: Ambiguous grouping - needs manual review","⚠️ Conflict detected - likely wrong product",VERIFY,https://www.amazon.com/dp/B000V1O40U?tag=robinfrench-20
NEEDS-REVIEW,"amaranth seeds","Bob's Red Mill Whole Grain Amaranth Seed",B000V1O40U,LOW,,"CONFLICT: Ambiguous grouping - needs manual review","⚠️ Conflict detected - likely wrong product",VERIFY,https://www.amazon.com/dp/B000V1O40U?tag=robinfrench-20
NEEDS-REVIEW,"teff seeds","Bob's Red Mill Whole Grain Teff Seeds",B0FKBVN6XP,LOW,,"CONFLICT: Ambiguous grouping - needs manual review","⚠️ Conflict detected - likely wrong product",VERIFY,https://www.amazon.com/dp/B0FKBVN6XP?tag=robinfrench-20
NEEDS-REVIEW,"safflower seeds","Wagner's Pure Safflower Seed Bird Food",B0FWLFGG21,LOW,,"CONFLICT: Ambiguous grouping - needs manual review","⚠️ Conflict detected - likely wrong product",VERIFY,https://www.amazon.com/dp/B0FWLFGG21?tag=robinfrench-20
NEEDS-REVIEW,"mulberries","Terrasoul Dried Mulberries Organic",B074153BXC,LOW,,"CONFLICT: Ambiguous grouping - needs manual review","⚠️ Conflict detected - likely wrong product",VERIFY,https://www.amazon.com/dp/B074153BXC?tag=robinfrench-20
NEEDS-REVIEW,"cranberries","NOW Foods Dried Cranberries Unsweetened",B074153BXC,LOW,,"CONFLICT: Ambiguous grouping - needs manual review","⚠️ Conflict detected - likely wrong product",VERIFY,https://www.amazon.com/dp/B074153BXC?tag=robinfrench-20
NEEDS-REVIEW,"bluegrass hay","Small Pet Select Bluegrass Hay",B00S6Y8MHU,LOW,,"CONFLICT: Ambiguous grouping - needs manual review","⚠️ Conflict detected - likely wrong product",VERIFY,https://www.amazon.com/dp/B00S6Y8MHU?tag=robinfrench-20
NEEDS-REVIEW,"wild bird mix","Lyric Wild Bird Mix No Filler",B0FWLFGG21,LOW,,"CONFLICT: Ambiguous grouping - needs manual review","⚠️ Conflict detected - likely wrong product",VERIFY,https://www.amazon.com/dp/B0FWLFGG21?tag=robinfrench-20
NEEDS-REVIEW,"sardines (in water)","Wild Planet Sardines in Water No Salt",B01FUWYO2M,LOW,,"CONFLICT: Conflict detected: herring and sardines are different products","⚠️ Conflict detected - likely wrong product",VERIFY,https://www.amazon.com/dp/B01FUWYO2M?tag=robinfrench-20
NEEDS-REVIEW,"wheat germ","Bob's Red Mill Wheat Germ",B0FKBVN6XP,LOW,,"CONFLICT: Ambiguous grouping - needs manual review","⚠️ Conflict detected - likely wrong product",VERIFY,https://www.amazon.com/dp/B0FKBVN6XP?tag=robinfrench-20
